date,hotel_code,room_code,available
2024-08-31,GLCC,DK1,11
2024-08-31,GLCC,DK1A,1
2024-08-31,GLCC,DK1R,1
2024-08-31,GLCC,DQ2,4
2024-08-31,GLCC,DQ2A,1
2024-08-31,GLCC,SQ2,11
2024-08-31,GLCC,SQ2A,1
2024-08-31,GLCC,XK1,1
2024-08-31,GLCC,XK1A,1
2024-08-31,GLCC,XQ2,0
2024-08-31,GLCC,XQ2A,1
2024-09-01,GLCC,DK1,11
2024-09-01,GLCC,DK1A,1
2024-09-01,GLCC,DK1R,1
2024-09-01,GLCC,DQ2,2
2024-09-01,GLCC,DQ2A,1
2024-09-01,GLCC,SQ2,11
2024-09-01,GLCC,SQ2A,1
2024-09-01,GLCC,XK1,1
2024-09-01,GLCC,XK1A,1
2024-09-01,GLCC,XQ2,0
2024-09-01,GLCC,XQ2A,1
2024-09-02,GLCC,DK1,11
2024-09-02,GLCC,DK1A,1
2024-09-02,GLCC,DK1R,1
2024-09-02,GLCC,DQ2,1
2024-09-02,GLCC,DQ2A,1
2024-09-02,GLCC,SQ2,11
2024-09-02,GLCC,SQ2A,1
2024-09-02,GLCC,XK1,0
2024-09-02,GLCC,XK1A,1
2024-09-02,GLCC,XQ2,0
2024-09-02,GLCC,XQ2A,1
2024-09-03,GLCC,DK1,11
2024-09-03,GLCC,DK1A,1
2024-09-03,GLCC,DK1R,1
2024-09-03,GLCC,DQ2,1
2024-09-03,GLCC,DQ2A,1
2024-09-03,GLCC,SQ2,11
2024-09-03,GLCC,SQ2A,0
2024-09-03,GLCC,XK1,0
2024-09-03,GLCC,XK1A,1
2024-09-03,GLCC,XQ2,1
2024-09-03,GLCC,XQ2A,1
2024-09-04,GLCC,DK1,11
2024-09-04,GLCC,DK1A,1
2024-09-04,GLCC,DK1R,1
2024-09-04,GLCC,DQ2,1
2024-09-04,GLCC,DQ2A,1
2024-09-04,GLCC,SQ2,11
2024-09-04,GLCC,SQ2A,1
2024-09-04,GLCC,XK1,0
2024-09-04,GLCC,XK1A,1
2024-09-04,GLCC,XQ2,0
2024-09-04,GLCC,XQ2A,1
2024-09-05,GLCC,DK1,5
2024-09-05,GLCC,DK1A,1
2024-09-05,GLCC,DK1R,1
2024-09-05,GLCC,DQ2,0
2024-09-05,GLCC,DQ2A,1
2024-09-05,GLCC,SQ2,7
2024-09-05,GLCC,SQ2A,1
2024-09-05,GLCC,XK1,0
2024-09-05,GLCC,XK1A,1
2024-09-05,GLCC,XQ2,0
2024-09-05,GLCC,XQ2A,1
2024-09-06,GLCC,DK1,5
2024-09-06,GLCC,DK1A,1
2024-09-06,GLCC,DK1R,1
2024-09-06,GLCC,DQ2,1
2024-09-06,GLCC,DQ2A,1
2024-09-06,GLCC,SQ2,10
2024-09-06,GLCC,SQ2A,1
2024-09-06,GLCC,XK1,1
2024-09-06,GLCC,XK1A,1
2024-09-06,GLCC,XQ2,0
2024-09-06,GLCC,XQ2A,1
2024-09-07,GLCC,DK1,11
2024-09-07,GLCC,DK1A,1
2024-09-07,GLCC,DK1R,0
2024-09-07,GLCC,DQ2,2
2024-09-07,GLCC,DQ2A,1
2024-09-07,GLCC,SQ2,11
2024-09-07,GLCC,SQ2A,1
2024-09-07,GLCC,XK1,0
2024-09-07,GLCC,XK1A,1
2024-09-07,GLCC,XQ2,1
2024-09-07,GLCC,XQ2A,1
2024-09-08,GLCC,DK1,11
2024-09-08,GLCC,DK1A,0
2024-09-08,GLCC,DK1R,0
2024-09-08,GLCC,DQ2,0
2024-09-08,GLCC,DQ2A,1
2024-09-08,GLCC,SQ2,11
2024-09-08,GLCC,SQ2A,1
2024-09-08,GLCC,XK1,1
2024-09-08,GLCC,XK1A,1
2024-09-08,GLCC,XQ2,0
2024-09-08,GLCC,XQ2A,1
2024-09-09,GLCC,DK1,11
2024-09-09,GLCC,DK1A,0
2024-09-09,GLCC,DK1R,0
2024-09-09,GLCC,DQ2,0
2024-09-09,GLCC,DQ2A,1
2024-09-09,GLCC,SQ2,9
2024-09-09,GLCC,SQ2A,1
2024-09-09,GLCC,XK1,1
2024-09-09,GLCC,XK1A,1
2024-09-09,GLCC,XQ2,0
2024-09-09,GLCC,XQ2A,1
2024-08-31,GLLM,CD1,0
2024-08-31,GLLM,CD2,0
2024-08-31,GLLM,CD2LA,0
2024-08-31,GLLM,CD2TL,0
2024-08-31,GLLM,CK1LH,0
2024-08-31,GLLM,CK1LHA,0
2024-08-31,GLLM,CQ1,0
2024-08-31,GLLM,CQ1LH,0
2024-08-31,GLLM,CXQ1L,0
2024-08-31,GLLM,CXQ1LH,0
2024-08-31,GLLM,DK1A,0
2024-08-31,GLLM,DQ1,0
2024-08-31,GLLM,DQ1A,0
2024-08-31,GLLM,DQ2,0
2024-08-31,GLLM,SB2XX,0
2024-08-31,GLLM,SD1XX,0
2024-08-31,GLLM,SD1XXA,0
2024-08-31,GLLM,SQ1,0
2024-08-31,GLLM,SQ1U,0
2024-08-31,GLLM,XQ1,0
