hotel_code,room_code,room_title,hotel_title
GLCC,SQ2,Standard 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,XK1,Suite 1 King,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,XQ2,Suite 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,SQ2A,ADA Standard 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,DK1A,ADA Deluxe 1 King,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,DK1R,Deluxe 1 King / ADA Roll-in Shower,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,DQ2A,ADA Deluxe 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,XK1A,ADA Suite 1 King,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,XQ2A,ADA Suite 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,DK1,Deluxe 1 King,"Cedar Creek Lodge (Columbia Falls, MT)"
GLCC,DQ2,Deluxe 2 Queen,"Cedar Creek Lodge (Columbia Falls, MT)"
GLLM,DK1A,Deluxe 1 King ADA ,Lake McDonald
GLLM,DQ2,Deluxe 2 Queens ,Lake McDonald
GLLM,DQ1,Deluxe 1 Queen ,Lake McDonald
GLLM,SQ1U,Standard Value 1 Queen ,Lake McDonald
GLLM,CK1LH,Large Deluxe Cabin 1 King ,Lake McDonald
GLLM,CXQ1L,Large Cabin Suite 1 Queen and Sofa Sleeper,Lake McDonald
GLLM,CXQ1LH,Large Deluxe Cabin Suite 1 Queen and Sofa Sleeper ,Lake McDonald
GLLM,XQ1,Cobb Suite 1 Queen ,Lake McDonald
GLLM,DQ1A,ADA Cobb Room 1 Queen,Lake McDonald
GLLM,SB2XX,Snyder Hall Room/1 Set of Bunk Beds ,Lake McDonald
GLLM,SD1XXA,ADA Snyder Hall Room/1 Double Full ,Lake McDonald
GLLM,SD1XX,Snyder Hall Room/1 Double Full ,Lake McDonald
GLLM,SQ1,Standard 1 Queen ,Lake McDonald
GLLM,SDTA,ADA Lodge Room 1 Double Full and 1 Twin Single ,Lake McDonald
GLLM,CK1LHA,Large Deluxe Cabin 1 King ADA ,Lake McDonald
GLLM,CD2TL,Large Cabin 2 Doubles Full and 1 Twin Single ,Lake McDonald
GLLM,CD2LA,Large ADA Cabin 2 Doubles Full ,Lake McDonald
GLLM,CD2,Small Cabin 2 Doubles Full ,Lake McDonald
GLLM,CQ1LH,Large Deluxe Cabin 1 Queen ,Lake McDonald
GLLM,CD1,Small Cabin 1 Double Full ,Lake McDonald
GLLM,CQ1,Small Cabin 1 Queen ,Lake McDonald
GLMG,DQ1,Deluxe Parkside 1 Queen ,Many Glacier Hotel
GLMG,ST2U,Value 2 Twins ,Many Glacier Hotel
GLMG,SD2U,Value 2 Doubles ,Many Glacier Hotel
GLMG,SD1U,Value 1 Double ,Many Glacier Hotel
GLMG,SDT,Standard Parkside 1 Double and 1 Twin ,Many Glacier Hotel
GLMG,ST2,Standard Parkside 2 Twins ,Many Glacier Hotel
GLMG,SD1Y,Standard Parkside 1 Double / Shared Balcony ,Many Glacier Hotel
GLMG,SDTY,Standard Parkside 1 Double and 1 Twin / Shared Balcony ,Many Glacier Hotel
GLMG,SD1V,Standard Lakeside 1 Double ,Many Glacier Hotel
GLMG,SDTV,Standard Lakeside 1 Double and 1 Twin ,Many Glacier Hotel
GLMG,ST2V,Standard Lakeside 2 Twins ,Many Glacier Hotel
GLMG,ST2YV,Standard Lakeside 2 Twins / Shared Balcony ,Many Glacier Hotel
GLMG,XD2T,Family Unit 2 Doubles and 1 Twin ,Many Glacier Hotel
GLMG,SD1UA,Value ADA 1 Double ,Many Glacier Hotel
GLMG,SDTVA,Standard Lakeside ADA 1 Double and 1 Twin ,Many Glacier Hotel
GLMG,DK1,Deluxe Parkside 1 King ,Many Glacier Hotel
GLMG,DQ1V,Deluxe Lakeside 1 Queen ,Many Glacier Hotel
GLMG,DK1V,Deluxe Lakeside 1 King ,Many Glacier Hotel
GLMG,DK1Y,Deluxe Parkside 1 King / Shared Balcony ,Many Glacier Hotel
GLMG,DK1YV,Deluxe Lakeside 1 King / Shared Balcony ,Many Glacier Hotel
GLMG,DQ1Y,Deluxe Parkside 1 Queen / Shared Balcony ,Many Glacier Hotel
GLMG,DQ1YA,Deluxe Parkside ADA 1 Queen / Shared Balcony ,Many Glacier Hotel
GLMG,DQ1YV,Deluxe Lakeside 1 Queen / Shared Balcony ,Many Glacier Hotel
GLMG,DQ1YVA,Deluxe Lakeside ADA 1 Queen / Shared Balcony ,Many Glacier Hotel
GLMG,XD2TA,Family Unit ADA 2 Doubles & 1 Twin ,Many Glacier Hotel
GLMG,SDTU,Value 1 Double and 1 Twin,Many Glacier Hotel
GLMG,SD2,Standard Parkside 2 Doubles,Many Glacier Hotel
GLMG,ST2Y,Standard Parkside 2 Twins/Shared Balcony ,Many Glacier Hotel
GLMG,SD2V,Standard Lakeside 2 Doubles,Many Glacier Hotel
GLMG,SD1YV,Standard Lakeside 1 Double/Shared Balcony,Many Glacier Hotel
GLMG,SD1,Standard Parkside 1 Double,Many Glacier Hotel
GLMG,SK1A,Standard Parkside ADA 1 King,Many Glacier Hotel
GLMG,SD1A,Standard Parkside ADA 1 Double,Many Glacier Hotel
GLMG,XKQYV,Lakeside Suite 1 King and 1 Queen / Shared Balcony,Many Glacier Hotel
GLRS,CD2,Cabin 2 Doubles Full ,Rising Sun Motor Inn & Cabins
GLRS,SD2,Store Motel 2 Doubles Full ,Rising Sun Motor Inn & Cabins
GLRS,SQ1,Store Motel 1 Queen ,Rising Sun Motor Inn & Cabins
GLRS,SD2M,Motor Inn 2 Doubles Full ,Rising Sun Motor Inn & Cabins
GLRS,SQ1MA,Motor Inn 1 Queen ADA ,Rising Sun Motor Inn & Cabins
GLRS,SQ1M,Motor Inn 1 Queen ,Rising Sun Motor Inn & Cabins
GLRS,CQ1,Cabin 1 Queen ,Rising Sun Motor Inn & Cabins
GLRS,SD2MA,Motor Inn 2 Doubles Full ADA ,Rising Sun Motor Inn & Cabins
GLSC,CD1,Historic Cabin 1 Double Full ,Swiftcurrent Motor Inn & Cabins
GLSC,SD2M,Motor Inn Room 2 Doubles Full ,Swiftcurrent Motor Inn & Cabins
GLSC,SDTM,Motor Inn Room 1 Double Full and 1 Twin Single ,Swiftcurrent Motor Inn & Cabins
GLSC,ST2MA,Motor Inn Room ADA 2 Twins Single ,Swiftcurrent Motor Inn & Cabins
GLSC,SD2MA,Motor Inn Room ADA 2 Doubles Full ,Swiftcurrent Motor Inn & Cabins
GLSC,CD1XX,Historic Cabin 1 Double Full/No Bathroom ,Swiftcurrent Motor Inn & Cabins
GLSC,CD2XX,Historic Cabin 2 Doubles Full/No Bathroom ,Swiftcurrent Motor Inn & Cabins
GLSC,CD2HA,ADA Cabin 2 Doubles Full ,Swiftcurrent Motor Inn & Cabins
GLSC,CD1H,Cabin 1 Double Full ,Swiftcurrent Motor Inn & Cabins
GLSC,CD1HL,Large Cabin 1 Double Full ,Swiftcurrent Motor Inn & Cabins
GLSC,SQ1M,Motor Inn Room 1 Queen,Swiftcurrent Motor Inn & Cabins
GLSC,SQ1,Pinetop Room 1 Queen,Swiftcurrent Motor Inn & Cabins
GLVI,SQ1,Motel Room 1 Queen ,Village Inn at Apgar
GLVI,SD1A,Motel Room 1 Double Full ADA ,Village Inn at Apgar
GLVI,XQ2T,Family Room 2 Queens and 1 Twin Single Bed ,Village Inn at Apgar
GLVI,SQ2K,Kitchen 2 Queen Beds ,Village Inn at Apgar
